placename,oc_lat,oc_lng,oc_formatted
"Birkevej 20, 4291 Ruds-Vedby",55.540683,11.383982,"Birkevej 20, 4291 Ruds, Denmark"
"Vesterlyngvej 18, 4500 Nykøbing Sjælland",55.926897,11.658022,"Vesterlyngvej 18, 4500 Nykøbing, Denmark"
"Vintapperbuen 2, 4070 Kirke Hyllinge",55.701092,11.887358,"Vintapperbuen 2, 4070 Kirke, Denmark"
"Færgevej 68, 3600 Frederikssund",55.844351,12.049447,"Færgevej 68, 3600 Frederikssund, Denmark"
"L. C. Worsøesvej 6, 4300 Holbæk",55.704346,11.716172,"L.C. Worsøesvej 6, 4300 Holbæk, Denmark"
"Stejlhøj 9, 4400 Kalundborg",55.679229,11.126635,"Stejlhøj 9, 4400 Kalundborg, Denmark"
"Antvorskov Alle 135, 4200 Slagelse",55.394168,11.353532,"Antvorskov Alle 135, 4200 Slagelse, Denmark"
"Reskavej 11, 4220 Korsør",55.349651,11.143436,"Reskavej 11, 4220 Korsør, Denmark"
"Byledet 66, 4600 Køge",55.463699,12.119183,"Byledet 66, 4600 Køge, Denmark"
"Stæremosen 2, 3250 Gilleleje",56.115716,12.322422,"Stæremosen 2, 3250 Gilleleje, Denmark"
"Klostermosevej 106C, 3000 Helsingør",56.024865,12.572319,"Klostermosevej 106C, 3000 Helsingør, Denmark"
"Frederiksborgvej 50, 3200 Helsinge",56.015833,12.203183,"Frederiksborgvej 50, 3200 Helsinge, Denmark"
"Heimdalsvej 1, 3400 Hillerød",55.933217,12.275238,"Heimdalsvej 1, 3400 Hillerød, Denmark"
"Hundestedvej 6, 3300 Frederiksværk",55.981554,12.017419,"Hundestedvej 6, 3300 Frederiksværk, Denmark"
"Hovedgaden 71, 3630 Jægerspris",55.855382,11.991509,"Hovedgaden 71, 3630 Jægerspris, Denmark"
"Færgevej 68, 3600 Frederikssund",55.844351,12.049447,"Færgevej 68, 3600 Frederikssund, Denmark"
"Frydensbergvej 5, 3660 Stenløse",55.771575,12.197882,"Frydensbergvej 5, 3660 Stenløse, Denmark"
"Ryttermarken 13, 3520 Farum",55.820554,12.358807,"Ryttermarken 13, 3520 Farum, Denmark"
"Gl Rådhusvej 86, 2750 Ballerup",55.73137,12.37297,"Gammel Rådhusvej 86, 2750 Ballerup, Denmark"
"Vandtårnsvej 59, 2860 Søborg",55.735573,12.493694,"Vandtårnsvej 59, 2860 Søborg, Denmark"
"Bernstorffsvej 159, 2900 Hellerup",55.748515,12.557039,"Bernstorffsvej 159, 2920 Charlottenlund, Denmark"
"Øtoftegårdsvej 4, 2630 Taastrup",55.655361,12.280415,"Øtoftegårdsvej 4, 2630 Taastrup, Denmark"
"Avedøre Havnevej 37, 2650 Hvidovre",55.653428,12.456892,"Avedøre Havnevej 37, 2650 Hvidovre, Denmark"
"Nordre Fasanvej 209, 2000 Frederiksberg",55.695338,12.532569,"Nordre Fasanvej 209B, 2000 Frederiksberg, Denmark"
"Hvidovrevej 9, 2610 Rødovre",55.670591,12.475556,"Hvidovrevej 9, 2610 Rødovre, Denmark"
"Ved Lunden 9, 3700 Rønne",55.095025,14.714615,"Ved Lunden 9, 3700 Rønne, Denmark"
"Industrivej 4, 3782 Klemensker",55.177114,14.812541,"Industrivej 4, 3782 Klemensker, Denmark"
"Falckvej 2, 3730 Nexø",55.059767,15.120639,"Falckvej 2, 3730 Nexø, Denmark"
